model,embedding_dim,window_size,negative_samples,final_loss
CBOW,100,2,N/A,2.6572
CBOW,100,4,N/A,3.4342
CBOW,100,6,N/A,3.8706
CBOW,200,2,N/A,1.7576
CBOW,200,4,N/A,2.5359
CBOW,200,6,N/A,3.1023
CBOW,300,2,N/A,1.2966
CBOW,300,4,N/A,1.9673
CBOW,300,6,N/A,2.5985
Skip-Gram,100,2,5,1.4266
Skip-Gram,100,2,10,1.8861
Skip-Gram,100,4,5,1.637
Skip-Gram,100,4,10,2.1463
Skip-Gram,100,6,5,1.749
Skip-Gram,100,6,10,2.2787
Skip-Gram,200,2,5,1.3512
Skip-Gram,200,2,10,1.799
Skip-Gram,200,4,5,1.5956
Skip-Gram,200,4,10,2.0984
Skip-Gram,200,6,5,1.7177
Skip-Gram,200,6,10,2.2456
Skip-Gram,300,2,5,1.3444
Skip-Gram,300,2,10,1.786
Skip-Gram,300,4,5,1.6011
Skip-Gram,300,4,10,2.1063
Skip-Gram,300,6,5,1.7282
Skip-Gram,300,6,10,2.2578
